id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,state_id,region_id,location_tour32,status,cid_primarix,id_primarix
785,Mount Cook,Mount Cook,Mount Cook,Mount Cook,188,81,19,1564,active,,115254
786,Mount Hagen,Mount Hagen,Mount Hagen,Mount Hagen,198,,,,active,,
787,Mount Mulligan,Mount Mulligan,Mount Mulligan,Mount Mulligan,186,63,107,1574,active,,
788,"Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland",186,55,149,88,active,,
789,Mt. Ruapehu,Mt. Ruapehu,Mt. Ruapehu,Mt. Ruapehu,188,51,,2441,active,,
790,Mungo National Park,Mungo National Park,Mungo National Park,Mungo National Park,186,49,128,1595,active,,
791,Muri,Muri,Muri,Muri,190,66,117,2029,active,,
792,Muri Beach,Muri Beach,Muri Beach,Muri Beach,190,66,117,2029,active,,
793,Myrtle Beach,Myrtle Beach,Myrtle Beach,Myrtle Beach,184,78,,1610,active,,
794,München,München,München,München,105,,,,active,,
795,Nacula Island,Nacula Island,Nacula Island,Nacula Island,191,,163,2666,active,,
796,Nadi,Nadi,Nadi,Nadi,191,96,154,2554,active,,3504
797,Nadi - Wailoaloa/Newtown,Nadi - Wailoaloa/Newtown,Nadi - Wailoaloa/Newtown,Nadi - Wailoaloa/Newtown,191,,154,,active,,
798,Nadi Airport,Nadi Airport,Nadi Airport,Nadi Airport,191,96,154,2554,active,,
799,Nadi/Cuvu,Nadi/Cuvu,Nadi/Cuvu,Nadi/Cuvu,191,,,,active,,
800,Nairobi,Nairobi,Nairobi,Nairobi,17,,,1615,active,,3528
801,Nambiti Privat Game Reserve,Nambiti Privat Game Reserve,Nambiti Privat Game Reserve,Nambiti Privat Game Reserve,37,,169,1618,active,,
802,NamibRand Nature Reserve,NamibRand Nature Reserve,NamibRand Nature Reserve,NamibRand Nature Reserve,28,,86,1621,active,,
803,Nankoma Island,Nankoma Island,Nankoma Island,Nankoma Island,23,,74,1626,active,,
804,Nanuya Island,Nanuya Island,Nanuya Island,Nanuya Island,191,100,163,2666,active,,
805,Napier,Napier,Napier,Napier,188,51,45,1630,active,,3359
806,"Napier, Bay View","Napier, Bay View","Napier, Bay View","Napier, Bay View",188,,,1630,active,,
807,Naples,Naples,Naples,Naples,184,16,,1631,active,,
808,Naracoorte,Naracoorte,Naracoorte,Naracoorte,186,77,131,1633,active,,
809,Nasca,Nasca,Nasca,Nasca,178,,140,1637,active,,103127
810,,Nashville,,,184,,,,active,,121829
811,Nata,Nata,Nata,Nata,5,,73,1640,active,,
812,Natadola Beach,Natadola Beach,Natadola Beach,Natadola Beach,191,96,154,2554,active,,
813,National Park,National Park,National Park,National Park,188,51,156,2441,active,,
814,National Park Torres de Paine,National Park Torres de Paine,National Park Torres de Paine,Nationalpark Torres del Paine,172,,111,2446,active,,
815,National Park Village,National Park Village,National Park Village,National Park Village,188,,,2441,active,,
816,"National Park Village, Ruapehu","National Park Village, Ruapehu","National Park Village, Ruapehu","National Park Village, Ruapehu",188,51,22,2441,active,,
817,Nationalpark Torres del Paine,Nationalpark Torres del Paine,Nationalpark Torres del Paine,Nationalpark Torres del Paine,172,,111,2446,active,,
818,Naukacuvu Island,Naukacuvu Island,Naukacuvu Island,Naukacuvu Island,191,,163,2666,active,,
819,Negombo,Negombo,Negombo,Negombo,76,,,459,active,,
820,Neiafu,Neiafu,Neiafu,Neiafu,202,94,,2530,active,,
821,Nelly Bay,Nelly Bay,Nelly Bay,Nelly Bay,186,63,,,active,,
822,Nelson,Nelson,Nelson,Nelson,188,81,87,1647,in review,,3497
823,Nelson Airport,Nelson Airport,Nelson Airport,Nelson Airport,,,,,active,,
824,"Nelson Bay, Port Stephens","Nelson Bay, Port Stephens","Nelson Bay, Port Stephens","Nelson Bay, Port Stephens",186,49,128,,active,,
825,Nelson Creek,Nelson Creek,Nelson Creek,Nelson Creek,188,81,160,802,active,,
826,,New Orleans,,,184,,,,active,,121448
827,New Plymouth,New Plymouth,New Plymouth,New Plymouth,188,51,145,1658,active,,
828,"New Plymouth, Omata","New Plymouth, Omata","New Plymouth, Omata","New Plymouth, Omata",188,51,145,1658,active,,
829,New York,New York,New York,New York,184,50,,1661,in review,,121439
830,Ngapali Beach,Ngapali Beach,Ngapali Beach,Ngapali Beach,70,,,1670,active,,
831,"Ngapali Beach, Rakhine State","Ngapali Beach, Rakhine State","Ngapali Beach, Rakhine State","Ngapali Beach, Rakhine State",70,,,1670,active,,
832,Ngorongoro Krater,Ngorongoro Krater,Ngorongoro Krater,Ngorongoro Krater,38,,,1672,active,,
833,Ngwe Saung Beach,Ngwe Saung Beach,Ngwe Saung Beach,Ngwe Saung Beach,70,,,1673,active,,
834,Nha Trang,Nha Trang,Nha Trang,Nha Trang,83,,89,1674,active,,
835,,Nitmiluk Nationalpark Besucherzentrum,Nitmiluk Nationalpark Besucherzentrum,Nitmiluk Nationalpark,186,,,,active,,121339
836,Nkomazi Private Game Reserve,Nkomazi Private Game Reserve,Nkomazi Private Game Reserve,Nkomazi Private Game Reserve,37,,132,1690,active,,
