id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
48,"Daintree Nationalpark, Cape Tribulation","Daintree Nationalpark, Cape Tribulation","Daintree Nationalpark, Cape Tribulation","Daintree Nationalpark, Cape Tribulation",,6,4,26,,
49,Dampier Peninsula,Dampier Peninsula,Dampier Peninsula,Dampier Peninsula,,6,8,13,,
50,Darwin,Darwin,Darwin,Darwin,525,6,3,25,51,3338
51,Denham,Denham,Denham,Denham,546,6,8,27,51,121849
52,El Questro Wilderness Park,El Questro Wilderness Park,El Questro Wilderness Park,El Questro Wilderness Park,,6,8,13,,
53,Esperance,Esperance,Esperance,Esperance,625,6,8,24,51,122079
54,Eungella Nationalpark,Eungella Nationalpark,Eungella Nationalpark,Eungella Nationalpark,640,6,4,19,,
55,Exmouth,Exmouth,Exmouth,Exmouth,644,6,8,27,51,6210
56,Fitzroy Crossing,Fitzroy Crossing,Fitzroy Crossing,Fitzroy Crossing,661,6,8,13,,
57,Fitzroy Island,Fitzroy Island,Fitzroy Island,Fitzroy Island,662,6,4,26,,
58,Flinders,Flinders,Flinders,Flinders,,6,7,22,,
59,Fraser Island,Fraser Island,Fraser Island,Fraser Island,698,6,4,10,,
60,Fremantle,Fremantle,Fremantle,Fremantle,704,6,8,23,51,115327
61,Geraldton,Geraldton,Geraldton,Geraldton,733,6,8,27,34,82162
62,Glasshouse Mountains,Glasshouse Mountains,Glasshouse Mountains,Glasshouse Mountains,,6,4,19,,
63,Glen Helen,Glen Helen,Glen Helen,Glen Helen,749,6,3,16,,
64,Halls Creek,Halls Creek,Halls Creek,Halls Creek,836,6,8,13,,
65,Halls Gap,Halls Gap,Halls Gap,Halls Gap,837,6,7,9,,
66,Hamilton,Hamilton,Hamilton,Hamilton,840,6,6,21,34,57758
67,Hamilton Island,Hamilton Island,Hamilton Island,Hamilton Island,841,6,4,10,51,57785
68,Hayman Island,Hayman Island,Hayman Island,Hayman Island,860,6,4,10,,
69,Heron Island,Heron Island,Heron Island,Heron Island,873,6,4,10,,
70,Hervey Bay,Hervey Bay,Hervey Bay,Hervey Bay,874,6,4,19,51,3347
71,Hidden Valley,Hidden Valley,Hidden Valley,Hidden Valley,876,6,4,19,,
72,Hobart,Hobart,Hobart,Hobart,885,6,6,21,51,3340
73,Huskisson,Huskisson,Huskisson,Huskisson,,6,2,17,,
74,"Kakadu Nationalpark, Cooinda","Kakadu Nationalpark, Cooinda","Kakadu Nationalpark, Cooinda","Kakadu Nationalpark, Cooinda",,6,3,25,,
75,"Kakadu Nationalpark, Jabiru","Kakadu Nationalpark, Jabiru","Kakadu Nationalpark, Jabiru","Kakadu Nationalpark, Jabiru",,6,3,25,,
76,Kalbarri,Kalbarri,Kalbarri,Kalbarri,1010,6,8,27,,
77,Kalgoorlie,Kalgoorlie,Kalgoorlie,Kalgoorlie,1011,6,8,24,,
78,Kangaroo Island,Kangaroo Island,Kangaroo Island,Kangaroo Island,1027,6,5,12,,
79,"Kangaroo Island, Cape Willoughby","Kangaroo Island, Cape Willoughby","Kangaroo Island, Cape Willoughby","Kangaroo Island, Cape Willoughby",,6,5,12,,
80,"Kangaroo Island, Hanson Bay","Kangaroo Island, Hanson Bay","Kangaroo Island, Hanson Bay","Kangaroo Island, Hanson Bay",,6,5,12,,
81,"Kangaroo Island, Kingscote","Kangaroo Island, Kingscote","Kangaroo Island, Kingscote","Kangaroo Island, Kingscote",,6,5,12,,
82,"Kangaroo Island, Penneshaw","Kangaroo Island, Penneshaw","Kangaroo Island, Penneshaw","Kangaroo Island, Penneshaw",,6,5,12,,
83,Karijini Nationalpark,Karijini Nationalpark,Karijini Nationalpark,Karijini Nationalpark,1036,6,8,23,,
84,Katherine,Katherine,Katherine,Katherine,1047,6,3,25,51,3343
85,"Katherine, Nitmiluk Nationalpark","Katherine, Nitmiluk Nationalpark","Katherine, Nitmiluk Nationalpark","Katherine, Nitmiluk Nationalpark",,6,3,25,,
86,Kimberleys,Kimberleys,Kimberleys,Kimberleys,,6,8,13,,
87,King Leopold Ranges,King Leopold Ranges,King Leopold Ranges,King Leopold Ranges,,6,8,13,,
88,Kings Canyon,Kings Canyon,Kings Canyon,Kings Canyon,1096,6,3,16,,
89,Kukerin,Kukerin,Kukerin,Kukerin,,6,8,24,,
90,Kununurra,Kununurra,Kununurra,Kununurra,1157,6,8,13,51,3344
91,Lady Elliot Island,Lady Elliot Island,Lady Elliot Island,Lady Elliot Island,1186,6,4,10,,
92,Lakes Entrance,Lakes Entrance,Lakes Entrance,Lakes Entrance,1214,6,7,11,,
93,Lamington Nationalpark,Lamington Nationalpark,Lamington Nationalpark,Lamington Nationalpark,1219,6,4,19,,
94,Launceston,Launceston,Launceston,Launceston,1238,6,6,21,51,3341
95,"Litchfield Nationalpark, Rakula","Litchfield Nationalpark, Rakula","Litchfield Nationalpark, Rakula","Litchfield Nationalpark, Rakula",,6,3,25,,
96,Lizard Island,Lizard Island,Lizard Island,Lizard Island,1285,6,4,10,,
97,Long Island,Long Island,Long Island,Long Island,1291,6,4,10,,
98,Lord Howe Island,Lord Howe Island,Lord Howe Island,Lord Howe Island,1299,6,2,14,,
99,Magnetic Island,Magnetic Island,Magnetic Island,Magnetic Island,1340,6,4,19,51,122133
100,"Magnetic Island, Nelly Bay","Magnetic Island, Nelly Bay","Magnetic Island, Nelly Bay","Magnetic Island, Nelly Bay",,6,4,10,,
101,Maleny,Maleny,Maleny,Maleny,1363,6,4,19,,
102,Margaret River,Margaret River,Margaret River,Margaret River,1402,6,8,24,51,121338
103,"Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach","Margaret River, Gnarabup Beach",,6,8,24,,
104,Mary River Conservation Reserve,Mary River Conservation Reserve,Mary River Conservation Reserve,Mary River Conservation Reserve,,6,3,25,,
105,McLaren Flat,McLaren Flat,McLaren Flat,McLaren Flat,,6,5,20,,
106,Melbourne,Melbourne,Melbourne,Melbourne,1466,6,7,22,51,3334
107,Melbourne Airport,Melbourne Airport,Melbourne Airport,Melbourne Airport,,6,7,22,34,51478
108,Mission Beach,Mission Beach,Mission Beach,Mission Beach,1509,6,4,19,51,84127
109,Mitchell Plateau,Mitchell Plateau,Mitchell Plateau,Mitchell Plateau,,6,8,13,,
110,Montville,Montville,Montville,Montville,1545,6,4,19,,
111,Mooloolaba,Mooloolaba,Mooloolaba,Mooloolaba,,6,4,19,,
112,Mossman,Mossman,Mossman,Mossman,1560,6,4,26,,
113,Mount Elizabeth,Mount Elizabeth,Mount Elizabeth,Mount Elizabeth,1565,6,8,13,,
114,Mount Mulligan,Mount Mulligan,Mount Mulligan,Mount Mulligan,1574,6,4,15,,
115,"Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland","Mt. Borradaile, Arnhemland",,6,3,25,,
116,Mungo National Park,Mungo National Park,Mungo National Park,Mungo National Park,,6,2,17,,
117,Naracoorte,Naracoorte,Naracoorte,Naracoorte,1633,6,5,20,,
118,"Noosa, Elanda Point","Noosa, Elanda Point","Noosa, Elanda Point","Noosa, Elanda Point",,6,4,19,,
119,"Noosa, Tewantin","Noosa, Tewantin","Noosa, Tewantin","Noosa, Tewantin",,6,4,19,,
