id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
422,Mapua Village,Mapua Village,Mapua Village,Mapua Village,,152,10,96,,
423,Marahau Beach,Marahau Beach,Marahau Beach,Marahau Beach,,152,10,96,,
424,Martinborough,Martinborough,Martinborough,Martinborough,1413,152,,109,,
425,Mount Cook,Mount Cook,Mount Cook,Mount Cook,1564,152,10,99,51,115254
426,Mt. Ruapehu,Mt. Ruapehu,Mt. Ruapehu,Mt. Ruapehu,,152,,,,
427,Napier,Napier,Napier,Napier,1630,152,,,51,3359
428,National Park,National Park,National Park,National Park,,152,,108,,
429,Nelson,Nelson,Nelson,Nelson,1647,152,10,103,51,3497
430,New Plymouth,New Plymouth,New Plymouth,New Plymouth,1658,152,,107,34,57768
431,Oamaru,Oamaru,Oamaru,Oamaru,1722,152,,,51,122097
432,Ohakune,Ohakune,Ohakune,Ohakune,1727,152,,108,,
433,Orewa,Orewa,Orewa,Orewa,1760,152,,97,,
434,Owhango,Owhango,Owhango,Owhango,1785,152,,100,,
435,Paihia,Paihia,Paihia,Paihia,1798,152,,104,51,3354
436,Pauanui,Pauanui,Pauanui,Pauanui,,152,,100,,
437,Peka Peka (Kapiti Coast),Peka Peka (Kapiti Coast),Peka Peka (Kapiti Coast),Peka Peka (Kapiti Coast),,152,,109,,
438,Picton,Picton,Picton,Picton,1872,152,10,102,51,21542
439,Punakaiki,Punakaiki,Punakaiki,Punakaiki,1983,152,10,,,
440,Queen Charlotte Sound (Marlborough),Queen Charlotte Sound (Marlborough),Queen Charlotte Sound (Marlborough),Queen Charlotte Sound (Marlborough),,152,10,102,,
441,Queenstown,Queenstown,Queenstown,Queenstown,2005,152,10,105,51,3363
442,Rotorua,Rotorua,Rotorua,Rotorua,2080,152,,100,51,3358
443,Takaka,Takaka,Takaka,Takaka,,152,10,96,,
444,Taupo,Taupo,Taupo,Taupo,2383,152,,100,51,21539
445,"Tauranga, Mt. Maunganui","Tauranga, Mt. Maunganui","Tauranga, Mt. Maunganui","Tauranga, Mt. Maunganui",,152,,98,,
446,Te Anau,Te Anau,Te Anau,Te Anau,2387,152,10,106,51,3364
447,Tekapo,Tekapo,Tekapo,Tekapo,2391,152,,,,
448,The Catlins,The Catlins,The Catlins,The Catlins,,152,10,105,,
449,Tongariro Nationalpark,Tongariro Nationalpark,Tongariro Nationalpark,Tongariro Nationalpark,2441,152,,108,,
450,Turangi,Turangi,Turangi,Turangi,2487,152,,,,
451,Twizel,Twizel,Twizel,Twizel,2493,152,10,99,,
452,Waiheke Island,Waiheke Island,Waiheke Island,Waiheke Island,2562,152,,97,,
453,Waipoua Forest,Waipoua Forest,Waipoua Forest,Waipoua Forest,2566,152,,104,,
454,Waitomo,Waitomo,Waitomo,Waitomo,2568,152,,100,51,115252
455,Wanaka,Wanaka,Wanaka,Wanaka,2574,152,10,105,,
456,Wanganui,Wanganui,Wanganui,Wanganui,2575,152,,108,34,57775
457,Warkworth,Warkworth,Warkworth,Warkworth,2578,152,,97,,
458,Wellington,Wellington,Wellington,Wellington,2592,152,,109,51,3495
459,Whakatane,Whakatane,Whakatane,Whakatane,2604,152,,98,34,57777
460,Whitianga,Whitianga,Whitianga,Whitianga,,152,,100,,
461,Bocas del Toro,Bocas del Toro,Bocas del Toro,Bocas del Toro,,166,,111,51,122037
462,Panama-City,Panama-City,Panama-City,Panama-City,1811,166,,111,,
463,Riviera Pacifica,Riviera Pacifica,Riviera Pacifica,Riviera Pacifica,2057,166,,111,,
464,"Kimbe, Cannonvale","Kimbe, Cannonvale","Kimbe, Cannonvale","Kimbe, Cannonvale",,167,,,,
465,Aguas Calientes,Aguas Calientes,Aguas Calientes,Aguas Calientes,19,169,,113,51,103128
466,Arequipa,Arequipa,Arequipa,Arequipa,84,169,,115,51,3815
467,"Barranco, Lima","Barranco, Lima","Barranco, Lima","Barranco, Lima",,169,,,,
468,"Caylloma, Valle del Colca","Caylloma, Valle del Colca","Caylloma, Valle del Colca","Caylloma, Valle del Colca",,169,,115,,
469,Cusco,Cusco,Cusco,Cusco,511,169,,113,51,3817
470,Huayoccari,Huayoccari,Huayoccari,Huayoccari,,169,,,,
471,Lima,Lima,Lima,Lima,1272,169,,,51,3794
472,Mancora,Mancora,Mancora,Mancora,1377,169,,114,,
473,Nasca,Nasca,Nasca,Nasca,1637,169,,115,51,103127
474,Paracas,Paracas,Paracas,Paracas,1817,169,,115,51,103126
475,Puno,Puno,Puno,Puno,1985,169,,116,51,3816
476,Puno - Lake Titicaca,Puno - Lake Titicaca,Puno - Lake Titicaca,Puno - Lake Titicaca,,169,,,,
477,"San Blas, Cusco","San Blas, Cusco","San Blas, Cusco","San Blas, Cusco",,169,,113,,
478,Tambopata Naturreservat / Puerto Maldonado,Tambopata Naturreservat / Puerto Maldonado,Tambopata Naturreservat / Puerto Maldonado,Tambopata Naturreservat / Puerto Maldonado,,169,,112,,
479,Urquillos,Urquillos,Urquillos,Urquillos,,169,,,,
480,"Yucay, Urubamba","Yucay, Urubamba","Yucay, Urubamba","Yucay, Urubamba",,169,,113,,
481,"Zorritos, Tumbes","Zorritos, Tumbes","Zorritos, Tumbes","Zorritos, Tumbes",,169,,114,,
482,Aleipata,Aleipata,Aleipata,Aleipata,,185,,,,
483,Apia,Apia,Apia,Apia,,185,,,51,3507
484,Asau,Asau,Asau,Asau,,185,,,,
485,Aufaga,Aufaga,Aufaga,Aufaga,,185,,,,
486,Fa'asaleleaga,Fa'asaleleaga,Fa'asaleleaga,Fa'asaleleaga,,185,,,,
487,Fagamalo,Fagamalo,Fagamalo,Fagamalo,,185,,,,
488,Lefaga,Lefaga,Lefaga,Lefaga,,185,,,,
489,Maninoa,Maninoa,Maninoa,Maninoa,,185,,,,
490,Matatufu,Matatufu,Matatufu,Matatufu,,185,,,,
491,Siumu,Siumu,Siumu,Siumu,,185,,,,
492,Alphonse Island,Alphonse Island,Alphonse Island,Alphonse Island,49,190,,,,
493,Bird Island,Bird Island,Bird Island,Bird Island,216,190,,,,
494,Denis Island,Denis Island,Denis Island,Denis Island,547,190,,,,
495,La Digue,La Digue,La Digue,La Digue,1169,190,,,51,121930
496,Mahé,Mahé,Mahé,Mahé,,190,,,51,3537
497,Praslin,Praslin,Praslin,Praslin,1950,190,,,51,3538
